ID,Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,Distance_km,Preparation_Time,Weather_conditions_Fog,Weather_conditions_Sandstorms,Weather_conditions_Stormy,Weather_conditions_Sunny,Weather_conditions_Windy,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival_Yes,City_Semi-Urban,City_Urban,Time_taken
0x1d1e,0.7616107537670589,0.5280583256913092,0,-0.04392028054280834,0.002632645515076807,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,44
0xb88e,0.2411463338143755,-0.4217395010803966,2,-0.05849438874885217,1.2263099451520538,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
0xab44,-1.4937350660279025,0.5280583256913092,0,-0.03271537541170042,0.002632645515076807,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,23
0xc982,-1.4937350660279025,0.8446576012818796,1,-0.04996490444907685,-1.2210446541219002,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,29
0x9621,0.9350988937512867,-0.10514022548982893,0,-0.03439520393744638,0.002632645515076807,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,37
0xb4ee,-1.4937350660279025,1.1612568768724472,1,-0.042704764558410706,-1.2210446541219002,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,19
0x4c70,0.4146344737986033,0.21145905010074154,0,-0.07964371671947434,-1.2210446541219002,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,24
0x9cb7,0.7616107537670589,0.5280583256913092,2,-0.07469304032152625,1.2263099451520538,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,33
0x7e7d,-1.1467587860594468,-0.10514022548982893,0,-0.06409544583244073,1.2263099451520538,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,25
0x81f0,1.2820751737197422,0.5280583256913092,1,-0.064760641821925,1.2263099451520538,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,25
0xbe9d,-0.2793180861383079,0.8446576012818796,0,-0.05357029514953108,1.2263099451520538,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,23
0x9122,-1.4937350660279025,0.8446576012818796,1,-0.048499670238446146,0.002632645515076807,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,18
0x175d,-0.6262943661067635,0.5280583256913092,0,-0.06514233902661812,-1.2210446541219002,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,15
0x3091,-1.4937350660279025,0.8446576012818796,0,-0.07994915256114948,0.002632645515076807,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17
0x356c,-0.1058299461540801,1.1612568768724472,1,-0.07480903198378729,-1.2210446541219002,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,32
0xc862,-0.7997825060909913,0.8446576012818796,0,-0.042704764558410706,1.2263099451520538,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,15
